hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
79935644682624.12,10.982275410257108,0.6043199787155623,4,QIEA,29,M-n200-k16,21.667387008666992
59963599297054.83,56.21546184692902,0.8906359102504444,45,NSGA-II,0,M-n200-k16,12.393914222717285
81065974874851.27,37.93331328359422,0.8874540345916581,60,NSGA-II,1,M-n200-k16,13.120800495147705
91587052417058.36,70.72963282362461,0.9001926426572952,63,NSGA-II,2,M-n200-k16,13.15235710144043
82691443227901.5,42.555744049870974,0.933977723791102,69,NSGA-II,3,M-n200-k16,13.314996004104614
92190784311384.5,63.73993737861732,0.9618641838702697,48,NSGA-II,4,M-n200-k16,13.11027979850769
68653308794569.59,88.18829016950464,0.8694651699535637,80,NSGA-II,5,M-n200-k16,13.02132511138916
60691157217009.16,67.93407988024856,0.9425432006778742,43,NSGA-II,6,M-n200-k16,13.126063585281372
99549809996869.45,54.54330737275317,0.8757064528467969,41,NSGA-II,7,M-n200-k16,12.855493068695068
71236046377269.19,68.56814257071046,0.9474330384845051,41,NSGA-II,8,M-n200-k16,13.235767841339111
66781974051489.625,36.762689201055,0.8911054766672022,56,NSGA-II,9,M-n200-k16,13.046444177627563
87376079844657.78,70.21126716723631,0.9510953763196133,38,NSGA-II,10,M-n200-k16,13.136806964874268
92455406926587.75,54.71380083459063,0.8702588090701233,37,NSGA-II,11,M-n200-k16,13.086674213409424
72281806265029.66,48.89458895672219,0.8977405412060577,43,NSGA-II,12,M-n200-k16,13.413599967956543
61223437496527.945,116.33298928230211,0.908084660079799,56,NSGA-II,13,M-n200-k16,13.257519006729126
80304781488874.56,28.58002207255304,0.7789248323569576,80,NSGA-II,14,M-n200-k16,13.648300170898438
77095281312401.25,172.76481696030484,0.9500919091730305,72,NSGA-II,15,M-n200-k16,12.385367155075073
87635794092057.64,62.854060213483706,0.9172462328466466,36,NSGA-II,16,M-n200-k16,12.523571968078613
77870464971278.53,40.971258699463256,0.7779384862560326,79,NSGA-II,17,M-n200-k16,12.34569764137268
86345241702547.03,35.129164470395104,0.8839609588774776,80,NSGA-II,18,M-n200-k16,12.233249187469482
68147076792744.79,35.640319278108926,0.7877962698515314,80,NSGA-II,19,M-n200-k16,12.217271089553833
91005401276599.55,59.54493962231938,0.8961211371499566,50,NSGA-II,20,M-n200-k16,12.238943338394165
73720333150117.64,28.631508938507043,0.8205483146140732,80,NSGA-II,21,M-n200-k16,11.69856858253479
77985471574183.19,59.49381223506928,0.9493325568462305,54,NSGA-II,22,M-n200-k16,11.976778030395508
77586812595883.58,37.360122550877136,0.8585882950552335,77,NSGA-II,23,M-n200-k16,12.463060855865479
70525267809511.25,59.26430696786296,0.9333170739292009,56,NSGA-II,24,M-n200-k16,11.927572250366211
